TIGRFAM,ROLE_ID,SubRole,MainRole
TIGR00084,132,"DNA replication, recombination, and repair",DNA metabolism
TIGR00086,136,Other,Protein synthesis
TIGR00087,149,Adaptations to atypical conditions,Cellular processes
TIGR00088,168,tRNA and rRNA base modification,Protein synthesis
TIGR00090,169,Translation factors,Protein synthesis
TIGR00091,168,tRNA and rRNA base modification,Protein synthesis
TIGR00092,157,General,Unknown function
TIGR00093,168,tRNA and rRNA base modification,Protein synthesis
TIGR00094,168,tRNA and rRNA base modification,Protein synthesis
TIGR00095,168,tRNA and rRNA base modification,Protein synthesis
TIGR00096,168,tRNA and rRNA base modification,Protein synthesis
TIGR00097,162,Thiamine,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR00099,703,Enzymes of unknown specificity,Unknown function
TIGR00100,140,Protein modification and repair,Protein fate
TIGR00101,160,Nitrogen metabolism,Central intermediary metabolism
TIGR00103,157,General,Unknown function
TIGR00104,703,Enzymes of unknown specificity,Unknown function
TIGR00105,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR00106,157,General,Unknown function
TIGR00107,127,Salvage of nucleosides and nucleotides,"Purines, pyrimidines, nucleosides, and nucleotides"
TIGR00109,79,"Heme, porphyrin, and cobalamin","Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR00110,74,Pyruvate family,Amino acid biosynthesis
TIGR00111,169,Translation factors,Protein synthesis
TIGR00112,73,Glutamate family,Amino acid biosynthesis
TIGR00113,168,tRNA and rRNA base modification,Protein synthesis
TIGR00114,85,"Riboflavin, FMN, and FAD","Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR00115,95,Protein folding and stabilization,Protein fate
TIGR00116,169,Translation factors,Protein synthesis
TIGR00117,120,TCA cycle,Energy metabolism
TIGR00118,74,Pyruvate family,Amino acid biosynthesis
TIGR00119,74,Pyruvate family,Amino acid biosynthesis
TIGR00120,73,Glutamate family,Amino acid biosynthesis
TIGR00121,140,Protein modification and repair,Protein fate
TIGR00122,261,DNA interactions,Regulatory functions
TIGR00123,79,"Heme, porphyrin, and cobalamin","Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR00124,114,Fermentation,Energy metabolism
TIGR00124,140,Protein modification and repair,Protein fate
TIGR00126,122,Other,"Purines, pyrimidines, nucleosides, and nucleotides"
TIGR00126,184,Other,Energy metabolism
TIGR00127,120,TCA cycle,Energy metabolism
TIGR00128,176,Biosynthesis,Fatty acid and phospholipid metabolism
TIGR00129,110,Anaerobic,Energy metabolism
TIGR00129,112,Electron transport,Energy metabolism
TIGR00130,140,Protein modification and repair,Protein fate
TIGR00131,119,Sugars,Energy metabolism
TIGR00132,137,tRNA aminoacylation,Protein synthesis
TIGR00133,137,tRNA aminoacylation,Protein synthesis
TIGR00134,137,tRNA aminoacylation,Protein synthesis
TIGR00135,137,tRNA aminoacylation,Protein synthesis
TIGR00136,168,tRNA and rRNA base modification,Protein synthesis
TIGR00137,168,tRNA and rRNA base modification,Protein synthesis
TIGR00138,168,tRNA and rRNA base modification,Protein synthesis
TIGR00139,71,Aspartate family,Amino acid biosynthesis
TIGR00140,140,Protein modification and repair,Protein fate
TIGR00142,140,Protein modification and repair,Protein fate
TIGR00143,140,Protein modification and repair,Protein fate
TIGR00144,703,Enzymes of unknown specificity,Unknown function
TIGR00145,157,General,Unknown function
TIGR00147,703,Enzymes of unknown specificity,Unknown function
TIGR00148,157,General,Unknown function
TIGR00149,703,Enzymes of unknown specificity,Unknown function
TIGR00150,168,tRNA and rRNA base modification,Protein synthesis
TIGR00151,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR00152,83,Pantothenate and coenzyme A,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR00153,156,Conserved,Hypothetical proteins
TIGR00154,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR00155,157,General,Unknown function
TIGR00156,156,Conserved,Hypothetical proteins
TIGR00157,169,Translation factors,Protein synthesis
TIGR00158,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR00159,156,Conserved,Hypothetical proteins
TIGR00160,184,Other,Energy metabolism
TIGR00161,156,Conserved,Hypothetical proteins
TIGR00162,156,Conserved,Hypothetical proteins
TIGR00163,176,Biosynthesis,Fatty acid and phospholipid metabolism
TIGR00164,157,General,Unknown function
TIGR00165,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR00166,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR00167,116,Glycolysis/gluconeogenesis,Energy metabolism
TIGR00168,169,Translation factors,Protein synthesis
TIGR00169,74,Pyruvate family,Amino acid biosynthesis
TIGR00170,74,Pyruvate family,Amino acid biosynthesis
TIGR00171,74,Pyruvate family,Amino acid biosynthesis
TIGR00172,93,Cell division,Cellular processes
TIGR00173,81,Menaquinone and ubiquinone,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR00174,168,tRNA and rRNA base modification,Protein synthesis
TIGR00175,120,TCA cycle,Energy metabolism
TIGR00176,82,Molybdopterin,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR00178,120,TCA cycle,Energy metabolism
TIGR00179,89,Biosynthesis and degradation of murein sacculus and peptidoglycan,Cell envelope
TIGR00181,138,"Degradation of proteins, peptides, and glycopeptides",Protein fate
TIGR00182,176,Biosynthesis,Fatty acid and phospholipid metabolism
TIGR00183,120,TCA cycle,Energy metabolism
TIGR00184,125,Purine ribonucleotide biosynthesis,"Purines, pyrimidines, nucleosides, and nucleotides"
TIGR00185,168,tRNA and rRNA base modification,Protein synthesis
TIGR00186,168,tRNA and rRNA base modification,Protein synthesis
TIGR00187,85,"Riboflavin, FMN, and FAD","Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR00188,166,RNA processing,Transcription
TIGR00189,176,Biosynthesis,Fatty acid and phospholipid metabolism
TIGR00190,162,Thiamine,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR00191,71,Aspartate family,Amino acid biosynthesis
TIGR00192,160,Nitrogen metabolism,Central intermediary metabolism
TIGR00193,160,Nitrogen metabolism,Central intermediary metabolism
TIGR00194,132,"DNA replication, recombination, and repair",DNA metabolism
TIGR00195,132,"DNA replication, recombination, and repair",DNA metabolism
TIGR00196,157,General,Unknown function
TIGR00197,157,General,Unknown function
TIGR00198,96,Detoxification,Cellular processes
TIGR00199,132,"DNA replication, recombination, and repair",DNA metabolism
TIGR00200,132,"DNA replication, recombination, and repair",DNA metabolism
TIGR00201,98,DNA transformation,Cellular processes
TIGR00202,116,Glycolysis/gluconeogenesis,Energy metabolism
TIGR00202,262,RNA interactions,Regulatory functions
TIGR00203,112,Electron transport,Energy metabolism
TIGR00204,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR00204,84,Pyridoxine,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR00204,162,Thiamine,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR00205,188,Chemotaxis and motility,Cellular processes
TIGR00206,188,Chemotaxis and motility,Cellular processes
TIGR00207,188,Chemotaxis and motility,Cellular processes
TIGR00208,188,Chemotaxis and motility,Cellular processes
TIGR00209,119,Sugars,Energy metabolism
TIGR00210,142,"Amino acids, peptides and amines",Transport and binding proteins
TIGR00211,137,tRNA aminoacylation,Protein synthesis
TIGR00212,79,"Heme, porphyrin, and cobalamin","Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR00213,90,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Cell envelope
TIGR00214,140,Protein modification and repair,Protein fate
TIGR00215,90,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Cell envelope
TIGR00216,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR00217,105,Biosynthesis and degradation of polysaccharides,Energy metabolism
TIGR00218,119,Sugars,Energy metabolism
TIGR00219,89,Biosynthesis and degradation of murein sacculus and peptidoglycan,Cell envelope
TIGR00220,149,Adaptations to atypical conditions,Cellular processes
TIGR00221,100,Amino sugars,Central intermediary metabolism
TIGR00222,83,Pantothenate and coenzyme A,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR00223,83,Pantothenate and coenzyme A,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR00224,116,Glycolysis/gluconeogenesis,Energy metabolism
TIGR00225,138,"Degradation of proteins, peptides, and glycopeptides",Protein fate
TIGR00225,140,Protein modification and repair,Protein fate
TIGR00228,132,"DNA replication, recombination, and repair",DNA metabolism
TIGR00229,264,Small molecule interactions,Regulatory functions
TIGR00230,119,Sugars,Energy metabolism
TIGR00230,129,Other,Regulatory functions
TIGR00231,157,General,Unknown function
TIGR00232,117,Pentose phosphate pathway,Energy metabolism
TIGR00233,137,tRNA aminoacylation,Protein synthesis
TIGR00234,137,tRNA aminoacylation,Protein synthesis
TIGR00235,127,Salvage of nucleosides and nucleotides,"Purines, pyrimidines, nucleosides, and nucleotides"
TIGR00236,90,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Cell envelope
TIGR00237,131,Degradation of DNA,DNA metabolism
TIGR00238,149,Adaptations to atypical conditions,Cellular processes
TIGR00239,120,TCA cycle,Energy metabolism
TIGR00240,126,Pyrimidine ribonucleotide biosynthesis,"Purines, pyrimidines, nucleosides, and nucleotides"
TIGR00242,157,General,Unknown function
TIGR00243,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR00244,261,DNA interactions,Regulatory functions
TIGR00245,156,Conserved,Hypothetical proteins
TIGR00246,168,tRNA and rRNA base modification,Protein synthesis
TIGR00247,156,Conserved,Hypothetical proteins
TIGR00249,263,Protein interactions,Regulatory functions
TIGR00250,157,General,Unknown function
TIGR00251,156,Conserved,Hypothetical proteins
TIGR00252,156,Conserved,Hypothetical proteins
TIGR00253,157,General,Unknown function
TIGR00254,264,Small molecule interactions,Regulatory functions
TIGR00254,710,Other,Signal transduction
TIGR00255,156,Conserved,Hypothetical proteins
TIGR00256,137,tRNA aminoacylation,Protein synthesis
TIGR00257,157,General,Unknown function
TIGR00258,122,Other,"Purines, pyrimidines, nucleosides, and nucleotides"
TIGR00259,95,Protein folding and stabilization,Protein fate
TIGR00260,71,Aspartate family,Amino acid biosynthesis
TIGR00261,157,General,Unknown function
TIGR00262,70,Aromatic amino acid family,Amino acid biosynthesis
TIGR00263,70,Aromatic amino acid family,Amino acid biosynthesis
TIGR00264,157,General,Unknown function
TIGR00266,156,Conserved,Hypothetical proteins
TIGR00267,156,Conserved,Hypothetical proteins
TIGR00268,156,Conserved,Hypothetical proteins
TIGR00269,156,Conserved,Hypothetical proteins
TIGR00270,156,Conserved,Hypothetical proteins
TIGR00272,140,Protein modification and repair,Protein fate
TIGR00273,112,Electron transport,Energy metabolism
TIGR00274,89,Biosynthesis and degradation of murein sacculus and peptidoglycan,Cell envelope
TIGR00275,703,Enzymes of unknown specificity,Unknown function
TIGR00276,168,tRNA and rRNA base modification,Protein synthesis
TIGR00278,156,Conserved,Hypothetical proteins
TIGR00279,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR00280,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR00281,93,Cell division,Cellular processes
TIGR00281,170,Chromosome-associated proteins,DNA metabolism
TIGR00282,703,Enzymes of unknown specificity,Unknown function
TIGR00283,136,Other,Protein synthesis
TIGR00284,157,General,Unknown function
TIGR00285,170,Chromosome-associated proteins,DNA metabolism
TIGR00286,104,Polyamine biosynthesis,Central intermediary metabolism
TIGR00286,109,Amino acids and amines,Energy metabolism
TIGR00287,719,NA,NA
TIGR00288,156,Conserved,Hypothetical proteins
TIGR00289,156,Conserved,Hypothetical proteins
TIGR00291,136,Other,Protein synthesis
TIGR00292,162,Thiamine,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR00293,95,Protein folding and stabilization,Protein fate
TIGR00294,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR00295,156,Conserved,Hypothetical proteins
TIGR00296,157,General,Unknown function
TIGR00297,156,Conserved,Hypothetical proteins
TIGR00298,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR00298,159,Methanogenesis,Energy metabolism
TIGR00299,156,Conserved,Hypothetical proteins
TIGR00300,156,Conserved,Hypothetical proteins
TIGR00302,125,Purine ribonucleotide biosynthesis,"Purines, pyrimidines, nucleosides, and nucleotides"
TIGR00303,156,Conserved,Hypothetical proteins
TIGR00304,156,Conserved,Hypothetical proteins
TIGR00305,92,Other,Cellular processes
TIGR00305,134,Degradation of RNA,Transcription
TIGR00306,116,Glycolysis/gluconeogenesis,Energy metabolism
TIGR00307,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR00308,168,tRNA and rRNA base modification,Protein synthesis
TIGR00309,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR00311,169,Translation factors,Protein synthesis
TIGR00312,79,"Heme, porphyrin, and cobalamin","Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR00313,79,"Heme, porphyrin, and cobalamin","Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR00314,180,Chemoautotrophy,Energy metabolism
TIGR00315,180,Chemoautotrophy,Energy metabolism
TIGR00316,180,Chemoautotrophy,Energy metabolism
TIGR00317,79,"Heme, porphyrin, and cobalamin","Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR00318,264,Small molecule interactions,Regulatory functions
TIGR00319,112,Electron transport,Energy metabolism
TIGR00320,112,Electron transport,Energy metabolism
TIGR00321,140,Protein modification and repair,Protein fate
TIGR00323,169,Translation factors,Protein synthesis
TIGR00324,166,RNA processing,Transcription
TIGR00325,90,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Cell envelope
TIGR00326,85,"Riboflavin, FMN, and FAD","Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR00327,97,Protein and peptide secretion and trafficking,Protein fate
TIGR00328,188,Chemotaxis and motility,Cellular processes
TIGR00329,138,"Degradation of proteins, peptides, and glycopeptides",Protein fate
TIGR00330,117,Pentose phosphate pathway,Energy metabolism
TIGR00331,261,DNA interactions,Regulatory functions
TIGR00332,112,Electron transport,Energy metabolism
TIGR00333,123,2'-Deoxyribonucleotide metabolism,"Purines, pyrimidines, nucleosides, and nucleotides"
TIGR00334,166,RNA processing,Transcription
TIGR00335,132,"DNA replication, recombination, and repair",DNA metabolism
TIGR00336,126,Pyrimidine ribonucleotide biosynthesis,"Purines, pyrimidines, nucleosides, and nucleotides"
TIGR00337,126,Pyrimidine ribonucleotide biosynthesis,"Purines, pyrimidines, nucleosides, and nucleotides"
TIGR00338,75,Serine family,Amino acid biosynthesis
TIGR00339,106,Sulfur metabolism,Central intermediary metabolism
TIGR00340,157,General,Unknown function
TIGR00341,156,Conserved,Hypothetical proteins
TIGR00342,162,Thiamine,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR00342,168,tRNA and rRNA base modification,Protein synthesis
TIGR00343,84,Pyridoxine,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR00344,137,tRNA aminoacylation,Protein synthesis
TIGR00345,156,Conserved,Hypothetical proteins
TIGR00346,142,"Amino acids, peptides and amines",Transport and binding proteins
TIGR00347,77,Biotin,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR00348,183,Restriction/modification,DNA metabolism
TIGR00350,129,Other,Regulatory functions
TIGR00351,110,Anaerobic,Energy metabolism
TIGR00353,112,Electron transport,Energy metabolism
TIGR00354,132,"DNA replication, recombination, and repair",DNA metabolism
TIGR00355,125,Purine ribonucleotide biosynthesis,"Purines, pyrimidines, nucleosides, and nucleotides"
TIGR00357,140,Protein modification and repair,Protein fate
TIGR00357,149,Adaptations to atypical conditions,Cellular processes
TIGR00358,134,Degradation of RNA,Transcription
TIGR00359,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR00359,700,PTS,Signal transduction
TIGR00360,157,General,Unknown function
TIGR00361,98,DNA transformation,Cellular processes
TIGR00362,132,"DNA replication, recombination, and repair",DNA metabolism
TIGR00363,88,Other,Cell envelope
TIGR00364,157,General,Unknown function
TIGR00365,112,Electron transport,Energy metabolism
TIGR00366,156,Conserved,Hypothetical proteins
TIGR00367,157,General,Unknown function
TIGR00368,157,General,Unknown function
TIGR00370,156,Conserved,Hypothetical proteins
TIGR00372,719,NA,NA
TIGR00373,165,Transcription factors,Transcription
TIGR00374,157,General,Unknown function
TIGR00375,156,Conserved,Hypothetical proteins
TIGR00376,132,"DNA replication, recombination, and repair",DNA metabolism
TIGR00377,263,Protein interactions,Regulatory functions
TIGR00378,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR00379,79,"Heme, porphyrin, and cobalamin","Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR00380,79,"Heme, porphyrin, and cobalamin","Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR00381,180,Chemoautotrophy,Energy metabolism
TIGR00382,95,Protein folding and stabilization,Protein fate
TIGR00382,138,"Degradation of proteins, peptides, and glycopeptides",Protein fate
TIGR00383,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR00384,108,Aerobic,Energy metabolism
TIGR00384,110,Anaerobic,Energy metabolism
TIGR00384,120,TCA cycle,Energy metabolism
TIGR00385,95,Protein folding and stabilization,Protein fate
TIGR00387,184,Other,Energy metabolism
TIGR00388,137,tRNA aminoacylation,Protein synthesis
TIGR00389,137,tRNA aminoacylation,Protein synthesis
TIGR00390,95,Protein folding and stabilization,Protein fate
TIGR00391,112,Electron transport,Energy metabolism
TIGR00392,137,tRNA aminoacylation,Protein synthesis
TIGR00393,119,Sugars,Energy metabolism
TIGR00394,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR00394,700,PTS,Signal transduction
TIGR00395,137,tRNA aminoacylation,Protein synthesis
TIGR00396,137,tRNA aminoacylation,Protein synthesis
TIGR00397,112,Electron transport,Energy metabolism
TIGR00398,137,tRNA aminoacylation,Protein synthesis
TIGR00399,137,tRNA aminoacylation,Protein synthesis
TIGR00400,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR00401,140,Protein modification and repair,Protein fate
TIGR00401,149,Adaptations to atypical conditions,Cellular processes
TIGR00402,112,Electron transport,Energy metabolism
TIGR00403,112,Electron transport,Energy metabolism
TIGR00405,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR00406,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR00407,73,Glutamate family,Amino acid biosynthesis
TIGR00408,137,tRNA aminoacylation,Protein synthesis
TIGR00409,137,tRNA aminoacylation,Protein synthesis
TIGR00410,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR00410,700,PTS,Signal transduction
TIGR00411,157,General,Unknown function
TIGR00412,157,General,Unknown function
TIGR00413,88,Other,Cell envelope
TIGR00414,137,tRNA aminoacylation,Protein synthesis
TIGR00415,137,tRNA aminoacylation,Protein synthesis
TIGR00416,132,"DNA replication, recombination, and repair",DNA metabolism
TIGR00417,104,Polyamine biosynthesis,Central intermediary metabolism
TIGR00418,137,tRNA aminoacylation,Protein synthesis
TIGR00419,116,Glycolysis/gluconeogenesis,Energy metabolism
TIGR00420,168,tRNA and rRNA base modification,Protein synthesis
TIGR00421,703,Enzymes of unknown specificity,Unknown function
TIGR00422,137,tRNA aminoacylation,Protein synthesis
TIGR00423,156,Conserved,Hypothetical proteins
TIGR00424,106,Sulfur metabolism,Central intermediary metabolism
TIGR00425,168,tRNA and rRNA base modification,Protein synthesis
TIGR00426,98,DNA transformation,Cellular processes
TIGR00427,157,General,Unknown function
TIGR00430,168,tRNA and rRNA base modification,Protein synthesis
TIGR00431,168,tRNA and rRNA base modification,Protein synthesis
TIGR00432,168,tRNA and rRNA base modification,Protein synthesis
TIGR00433,77,Biotin,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR00434,106,Sulfur metabolism,Central intermediary metabolism
TIGR00435,137,tRNA aminoacylation,Protein synthesis
TIGR00436,136,Other,Protein synthesis
TIGR00437,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR00438,168,tRNA and rRNA base modification,Protein synthesis
TIGR00439,93,Cell division,Cellular processes
TIGR00439,97,Protein and peptide secretion and trafficking,Protein fate
TIGR00440,137,tRNA aminoacylation,Protein synthesis
TIGR00441,90,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Cell envelope
TIGR00442,137,tRNA aminoacylation,Protein synthesis
TIGR00443,161,Histidine family,Amino acid biosynthesis
TIGR00444,157,General,Unknown function
TIGR00445,89,Biosynthesis and degradation of murein sacculus and peptidoglycan,Cell envelope
TIGR00446,168,tRNA and rRNA base modification,Protein synthesis
TIGR00447,136,Other,Protein synthesis
TIGR00448,135,DNA-dependent RNA polymerase,Transcription
TIGR00449,168,tRNA and rRNA base modification,Protein synthesis
TIGR00450,168,tRNA and rRNA base modification,Protein synthesis
TIGR00452,703,Enzymes of unknown specificity,Unknown function
TIGR00453,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR00454,156,Conserved,Hypothetical proteins
TIGR00455,106,Sulfur metabolism,Central intermediary metabolism
TIGR00456,137,tRNA aminoacylation,Protein synthesis
TIGR00457,137,tRNA aminoacylation,Protein synthesis
TIGR00458,137,tRNA aminoacylation,Protein synthesis
TIGR00459,137,tRNA aminoacylation,Protein synthesis
TIGR00460,137,tRNA aminoacylation,Protein synthesis
TIGR00461,109,Amino acids and amines,Energy metabolism
TIGR00462,157,General,Unknown function
TIGR00463,137,tRNA aminoacylation,Protein synthesis
TIGR00464,137,tRNA aminoacylation,Protein synthesis
TIGR00465,74,Pyruvate family,Amino acid biosynthesis
TIGR00466,90,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Cell envelope
TIGR00467,137,tRNA aminoacylation,Protein synthesis
TIGR00468,137,tRNA aminoacylation,Protein synthesis
TIGR00469,137,tRNA aminoacylation,Protein synthesis
TIGR00470,75,Serine family,Amino acid biosynthesis
TIGR00470,137,tRNA aminoacylation,Protein synthesis
TIGR00471,137,tRNA aminoacylation,Protein synthesis
TIGR00472,137,tRNA aminoacylation,Protein synthesis
TIGR00473,176,Biosynthesis,Fatty acid and phospholipid metabolism
TIGR00474,137,tRNA aminoacylation,Protein synthesis
TIGR00475,169,Translation factors,Protein synthesis
TIGR00477,94,Toxin production and resistance,Cellular processes
TIGR00478,157,General,Unknown function
TIGR00479,168,tRNA and rRNA base modification,Protein synthesis
TIGR00481,157,General,Unknown function
TIGR00482,163,Pyridine nucleotides,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR00483,169,Translation factors,Protein synthesis
TIGR00484,169,Translation factors,Protein synthesis
TIGR00485,169,Translation factors,Protein synthesis
TIGR00486,157,General,Unknown function
TIGR00487,169,Translation factors,Protein synthesis
TIGR00488,703,Enzymes of unknown specificity,Unknown function
TIGR00489,169,Translation factors,Protein synthesis
TIGR00490,169,Translation factors,Protein synthesis
