Species,Healthy_Median,Healthy_Distribution,CRC_Median,CRC_Distribution,Test,Test_Statistic,P_Value,Correction_Performed,Corrected_Pvalue,Reject
Kosakonia_oryzae,-3.2188942248307075,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8616.0,0.00011755116580444236,fdr_bh,0.0011365545635550933,True
Lactobacillus_agilis,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8539.0,0.00021133857559580432,fdr_bh,0.0011365545635550933,True
Lactobacillus_alimentarius,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8506.0,0.0002700640792979452,fdr_bh,0.0011365545635550933,True
Lactobacillus_amylolyticus,-3.2241424755815675,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8560.0,0.00018045692203516706,fdr_bh,0.0011365545635550933,True
Lactobacillus_amylophilus,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8509.0,0.00026415127971770897,fdr_bh,0.0011365545635550933,True
Lactobacillus_acetotolerans,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8492.0,0.000299334359536056,fdr_bh,0.0011365545635550933,True
Kluyvera_intermedia,-3.1993192293079282,Not Normally Distributed,-3.5097047834403927,Not Normally Distributed,Mann-Whitney U Test,8488.0,0.00030822781013289073,fdr_bh,0.0011365545635550933,True
Kluyvera_ascorbata,-3.12872593624261,Not Normally Distributed,-3.431287726967044,Not Normally Distributed,Mann-Whitney U Test,8503.0,0.0002761007644770394,fdr_bh,0.0011365545635550933,True
Kingella_denitrificans,-3.20674670143306,Not Normally Distributed,-3.538902065932767,Not Normally Distributed,Mann-Whitney U Test,8696.0,6.254810251396304e-05,fdr_bh,0.0011365545635550933,True
Jonquetella_anthropi,-3.2188942248307075,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8672.0,7.575627820518526e-05,fdr_bh,0.0011365545635550933,True
endosymbiont_TC1_of_Trimyema_compressum,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8522.0,0.00023990409144914945,fdr_bh,0.0011365545635550933,True
Insolitispirillum_peregrinum,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8492.0,0.000299334359536056,fdr_bh,0.0011365545635550933,True
Ignavigranum_ruoffiae,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8527.0,0.00023114702413109533,fdr_bh,0.0011365545635550933,True
Hydrogenoanaerobacterium_saccharovorans,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8510.0,0.0002622074684949509,fdr_bh,0.0011365545635550933,True
Hungateiclostridium_saccincola,-3.2158430695976,Not Normally Distributed,-3.538902065932767,Not Normally Distributed,Mann-Whitney U Test,8605.0,0.00012798499211223103,fdr_bh,0.0011365545635550933,True
Hungateiclostridium_clariflavum,-3.2241424755815675,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8571.0,0.0001660261365251638,fdr_bh,0.0011365545635550933,True
Hungateiclostridium_cellulolyticum,-3.2188942248307075,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8660.0,8.331037021393122e-05,fdr_bh,0.0011365545635550933,True
Hellea_balneolensis,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8492.0,0.000299334359536056,fdr_bh,0.0011365545635550933,True
Heliobacterium_modesticaldum,-3.2241424755815675,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8585.0,0.00014922711954261112,fdr_bh,0.0011365545635550933,True
Helicobacter_macacae,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8501.0,0.0002801952280569642,fdr_bh,0.0011365545635550933,True
Helicobacter_fennelliae,-3.2241424755815675,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8557.0,0.0001845926168065028,fdr_bh,0.0011365545635550933,True
Lactobacillus_amylovorus,-3.218692010395868,Not Normally Distributed,-3.538902065932767,Not Normally Distributed,Mann-Whitney U Test,8502.0,0.00027814093591541815,fdr_bh,0.0011365545635550933,True
Lactobacillus_animalis,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8520.0,0.00024349330667833025,fdr_bh,0.0011365545635550933,True
Lactobacillus_curvatus,-3.2241424755815675,Not Normally Distributed,-3.5697487626675315,Not Normally Distributed,Mann-Whitney U Test,8524.0,0.00023636455922489456,fdr_bh,0.0011365545635550933,True
Helicobacter_cinaedi,-3.2188942248307075,Not Normally Distributed,-3.5697487626675315,Not Normally Distributed,Mann-Whitney U Test,8501.0,0.0002801952280569642,fdr_bh,0.0011365545635550933,True
Macrococcus_sp_IME1552,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8527.0,0.00023114702413109533,fdr_bh,0.0011365545635550933,True
Lutispora_thermophila,-3.20674670143306,Not Normally Distributed,-3.538902065932767,Not Normally Distributed,Mann-Whitney U Test,8595.0,0.000138222157173449,fdr_bh,0.0011365545635550933,True
Luteimonas_huabeiensis,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8513.0,0.0002564561938665299,fdr_bh,0.0011365545635550933,True
Leuconostoc_mesenteroides,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8525.0,0.00023461322474487703,fdr_bh,0.0011365545635550933,True
Leptotrichia_sp_oral_taxon_498,-3.218140623353655,Not Normally Distributed,-3.538902065932767,Not Normally Distributed,Mann-Whitney U Test,8606.0,0.0001270015474093579,fdr_bh,0.0011365545635550933,True
Lelliottia_jeotgali,-3.2188942248307075,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8626.0,0.00010876676602748241,fdr_bh,0.0011365545635550933,True
Lelliottia_amnigena,-3.2188942248307075,Not Normally Distributed,-3.538902065932767,Not Normally Distributed,Mann-Whitney U Test,8497.0,0.0002885554172110832,fdr_bh,0.0011365545635550933,True
Legionella_londiniensis,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8528.0,0.00022943200141465987,fdr_bh,0.0011365545635550933,True
Leclercia_sp_W6,-3.2158430695976,Not Normally Distributed,-3.5697487626675315,Not Normally Distributed,Mann-Whitney U Test,8676.0,7.338559526031362e-05,fdr_bh,0.0011365545635550933,True
Leclercia_sp_LSNIH3,-3.1836515390750915,Not Normally Distributed,-3.538902065932767,Not Normally Distributed,Mann-Whitney U Test,8715.0,5.36704091425818e-05,fdr_bh,0.0011365545635550933,True
Leclercia_sp_LSNIH1,-3.2158430695976,Not Normally Distributed,-3.538902065932767,Not Normally Distributed,Mann-Whitney U Test,8602.0,0.00013097856602901513,fdr_bh,0.0011365545635550933,True
Leclercia_adecarboxylata,-3.20674670143306,Not Normally Distributed,-3.538902065932767,Not Normally Distributed,Mann-Whitney U Test,8578.0,0.00015741585567033634,fdr_bh,0.0011365545635550933,True
Leadbetterella_byssophila,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8528.0,0.00022943200141465987,fdr_bh,0.0011365545635550933,True
Lamprocystis_purpurea,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8494.0,0.0002949783028160823,fdr_bh,0.0011365545635550933,True
Lagierella_massiliensis,-3.2241424755815675,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8612.0,0.00012124884338007096,fdr_bh,0.0011365545635550933,True
Lactococcus_raffinolactis,-3.2241424755815675,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8528.0,0.00022943200141465987,fdr_bh,0.0011365545635550933,True
Lactococcus_piscium,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8506.0,0.0002700640792979452,fdr_bh,0.0011365545635550933,True
Lactococcus_garvieae,-3.218140623353655,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8680.0,7.108519751451263e-05,fdr_bh,0.0011365545635550933,True
Lactobacillus_uvarum,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8485.0,0.00031505961063255165,fdr_bh,0.0011365545635550933,True
Lactobacillus_suebicus,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8527.0,0.00023114702413109533,fdr_bh,0.0011365545635550933,True
Lactobacillus_satsumensis,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8527.0,0.00023114702413109533,fdr_bh,0.0011365545635550933,True
Lactobacillus_rogosae,13.435852430276501,Not Normally Distributed,12.074990907804386,Not Normally Distributed,Mann-Whitney U Test,8591.0,0.0001425290934324981,fdr_bh,0.0011365545635550933,True
Lactobacillus_rhamnosus,-3.2188942248307075,Not Normally Distributed,-3.5697487626675315,Not Normally Distributed,Mann-Whitney U Test,8589.0,0.0001447296594546294,fdr_bh,0.0011365545635550933,True
Lactobacillus_reuteri,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Not Normally Distributed,Mann-Whitney U Test,8494.0,0.0002949783028160823,fdr_bh,0.0011365545635550933,True
Lactobacillus_pentosus,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8513.0,0.0002564561938665299,fdr_bh,0.0011365545635550933,True
Lactobacillus_gigeriorum,-3.2241424755815675,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8560.0,0.00018045692203516706,fdr_bh,0.0011365545635550933,True
Lactobacillus_gallinarum,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8527.0,0.00023114702413109533,fdr_bh,0.0011365545635550933,True
Lactobacillus_equi,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8508.0,0.00026610859403840487,fdr_bh,0.0011365545635550933,True
Lactobacillus_delbrueckii,-3.105823689672837,Not Normally Distributed,-3.5097047834403927,Not Normally Distributed,Mann-Whitney U Test,8821.0,2.2333510873171936e-05,fdr_bh,0.0011365545635550933,True
Lactobacillus_bifermentans,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8527.0,0.00023114702413109533,fdr_bh,0.0011365545635550933,True
Helcococcus_sueciensis,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8523.0,0.00023812815497716033,fdr_bh,0.0011365545635550933,True
Helcococcus_kunzii,-3.2241424755815675,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8556.0,0.00018599086773205318,fdr_bh,0.0011365545635550933,True
Hathewaya_proteolytica,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8534.0,0.00021939009082429993,fdr_bh,0.0011365545635550933,True
Enterobacter_sp_638,-3.2188942248307075,Not Normally Distributed,-3.5697487626675315,Not Normally Distributed,Mann-Whitney U Test,8599.0,0.00013403803280137813,fdr_bh,0.0011365545635550933,True
Enterobacter_lignolyticus,-3.218692010395868,Not Normally Distributed,-3.538902065932767,Not Normally Distributed,Mann-Whitney U Test,8493.0,0.00029714885503459386,fdr_bh,0.0011365545635550933,True
Enterobacter_kobei,-3.2188942248307075,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8576.0,0.00015983205799391192,fdr_bh,0.0011365545635550933,True
Enterobacter_bugandensis,-3.179734872977388,Not Normally Distributed,-3.5097047834403927,Not Normally Distributed,Mann-Whitney U Test,8574.0,0.00016228312861125068,fdr_bh,0.0011365545635550933,True
Dysgonomonas_mossii,-3.218140623353655,Not Normally Distributed,-3.538902065932767,Not Normally Distributed,Mann-Whitney U Test,8579.0,0.00015622068561185943,fdr_bh,0.0011365545635550933,True
Dysgonomonas_gadei,-3.2241424755815675,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8551.0,0.00019313271599566192,fdr_bh,0.0011365545635550933,True
Dysgonomonas_capnocytophagoides,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Not Normally Distributed,Mann-Whitney U Test,8485.0,0.00031505961063255165,fdr_bh,0.0011365545635550933,True
Dubosiella_newyorkensis,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8526.0,0.00023287407255399113,fdr_bh,0.0011365545635550933,True
Dickeya_sp_Secpp_1600,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8512.0,0.00025836001102642816,fdr_bh,0.0011365545635550933,True
Dickeya_sp_DW_0440,-3.2241424755815675,Not Normally Distributed,-3.5697487626675315,Not Normally Distributed,Mann-Whitney U Test,8527.0,0.00023114702413109533,fdr_bh,0.0011365545635550933,True
Dickeya_sp_CSL_RW240,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8489.0,0.0003059815402487447,fdr_bh,0.0011365545635550933,True
Dickeya_dadantii,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8506.0,0.0002700640792979452,fdr_bh,0.0011365545635550933,True
Desulfotomaculum_copahuensis,-3.2188942248307075,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8648.0,9.157250251969255e-05,fdr_bh,0.0011365545635550933,True
Enterobacter_sp_R4-368,-3.2241424755815675,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8525.0,0.00023461322474487703,fdr_bh,0.0011365545635550933,True
Desulfonispora_thiosulfatigenes,-3.2188942248307075,Not Normally Distributed,-3.5697487626675315,Not Normally Distributed,Mann-Whitney U Test,8563.0,0.00017640846282580326,fdr_bh,0.0011365545635550933,True
Desnuesiella_massiliensis,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8540.0,0.000209761936664437,fdr_bh,0.0011365545635550933,True
Desemzia_incerta,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8485.0,0.00031505961063255165,fdr_bh,0.0011365545635550933,True
Denitrobacterium_detoxificans,-3.1743244289312784,Not Normally Distributed,-3.538902065932767,Not Normally Distributed,Mann-Whitney U Test,8821.0,2.2333510873171936e-05,fdr_bh,0.0011365545635550933,True
Deinococcus_wulumuqiensis,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8531.0,0.00022435831373347157,fdr_bh,0.0011365545635550933,True
Defluviitalea_phaphyphila,-3.2241424755815675,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8585.0,0.00014922711954261112,fdr_bh,0.0011365545635550933,True
Cutibacterium_acnes,-3.211477340154312,Not Normally Distributed,-3.538902065932767,Not Normally Distributed,Mann-Whitney U Test,8621.0,0.00011307853241188436,fdr_bh,0.0011365545635550933,True
Cronobacter_universalis,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8515.0,0.00025268795911656143,fdr_bh,0.0011365545635550933,True
Cronobacter_turicensis,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8492.0,0.000299334359536056,fdr_bh,0.0011365545635550933,True
Cronobacter_sakazakii,-3.1622668000097534,Not Normally Distributed,-3.5097047834403927,Not Normally Distributed,Mann-Whitney U Test,8867.0,1.5082838777176e-05,fdr_bh,0.0011365545635550933,True
Cronobacter_malonaticus,-3.218140623353655,Not Normally Distributed,-3.538902065932767,Not Normally Distributed,Mann-Whitney U Test,8529.0,0.00022772892680040388,fdr_bh,0.0011365545635550933,True
Corynebacterium_sp_NML98-0116,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8537.0,0.0002145252980920305,fdr_bh,0.0011365545635550933,True
Corynebacterium_pyruviciproducens,-3.2241424755815675,Not Normally Distributed,-3.5697487626675315,Not Normally Distributed,Mann-Whitney U Test,8494.0,0.0002949783028160823,fdr_bh,0.0011365545635550933,True
Corynebacterium_jeikeium,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8520.0,0.00024349330667833025,fdr_bh,0.0011365545635550933,True
Desulfobacter_postgatei,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8557.0,0.0001845926168065028,fdr_bh,0.0011365545635550933,True
Enterobacter_sp_SA187,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8490.0,0.0003037506062451053,fdr_bh,0.0011365545635550933,True
Enterobacteriaceae_bacterium_ENNIH2,-3.179734872977388,Not Normally Distributed,-3.5097047834403927,Not Normally Distributed,Mann-Whitney U Test,8715.0,5.36704091425818e-05,fdr_bh,0.0011365545635550933,True
Enterobacteriaceae_bacterium_ENNIH3,-3.1904496083845473,Not Normally Distributed,-3.538902065932767,Not Normally Distributed,Mann-Whitney U Test,8775.0,3.282940036697358e-05,fdr_bh,0.0011365545635550933,True
Halotalea_alkalilenta,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8513.0,0.0002564561938665299,fdr_bh,0.0011365545635550933,True
Gottschalkia_purinilytica,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8531.0,0.00022435831373347157,fdr_bh,0.0011365545635550933,True
Globicatella_sulfidifaciens,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8528.0,0.00022943200141465987,fdr_bh,0.0011365545635550933,True
Gibbsiella_quercinecans,-3.2241424755815675,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8545.0,0.00020204308603199872,fdr_bh,0.0011365545635550933,True
Franconibacter_pulveris,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8515.0,0.00025268795911656143,fdr_bh,0.0011365545635550933,True
Flavobacterium_marinum,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8520.0,0.00024349330667833025,fdr_bh,0.0011365545635550933,True
Facklamia_miroungae,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8509.0,0.00026415127971770897,fdr_bh,0.0011365545635550933,True
Facklamia_hominis,-3.2241424755815675,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8556.0,0.00018599086773205318,fdr_bh,0.0011365545635550933,True
Ethanoligenens_harbinense,-3.218692010395868,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8676.0,7.338559526031362e-05,fdr_bh,0.0011365545635550933,True
Escherichia_fergusonii,-3.0787114530780624,Not Normally Distributed,-3.5097047834403927,Not Normally Distributed,Mann-Whitney U Test,8701.0,6.0085793623655554e-05,fdr_bh,0.0011365545635550933,True
Erwinia_persicina,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8512.0,0.00025836001102642816,fdr_bh,0.0011365545635550933,True
Erwinia_mallotivora,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8500.0,0.00028226373118729993,fdr_bh,0.0011365545635550933,True
Erwinia_iniecta,-3.2241424755815675,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8532.0,0.0002226906223373884,fdr_bh,0.0011365545635550933,True
Enterorhabdus_mucosicola,-2.983019440828583,Not Normally Distributed,-3.4034055690547618,Not Normally Distributed,Mann-Whitney U Test,8710.0,5.5883248551321174e-05,fdr_bh,0.0011365545635550933,True
Enterococcus_thailandicus,-3.2188942248307075,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8565.0,0.00017375710769080278,fdr_bh,0.0011365545635550933,True
Enterococcus_sp_FDAARGOS_375,-3.2188942248307075,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8565.0,0.00017375710769080278,fdr_bh,0.0011365545635550933,True
Enterococcus_sp_CR-Ec1,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8509.0,0.00026415127971770897,fdr_bh,0.0011365545635550933,True
Enterococcus_saccharolyticus,-3.2241424755815675,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8537.0,0.0002145252980920305,fdr_bh,0.0011365545635550933,True
Enterococcus_pseudoavium,-3.2241424755815675,Not Normally Distributed,-3.5697487626675315,Not Normally Distributed,Mann-Whitney U Test,8529.0,0.00022772892680040388,fdr_bh,0.0011365545635550933,True
Enterococcus_mundtii,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8485.0,0.00031505961063255165,fdr_bh,0.0011365545635550933,True
Enterococcus_massiliensis,-3.2241424755815675,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8537.0,0.0002145252980920305,fdr_bh,0.0011365545635550933,True
Enterococcus_malodoratus,-3.2188942248307075,Not Normally Distributed,-3.5697487626675315,Not Normally Distributed,Mann-Whitney U Test,8564.0,0.00017507806537304046,fdr_bh,0.0011365545635550933,True
Enterococcus_italicus,-3.2241424755815675,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8537.0,0.0002145252980920305,fdr_bh,0.0011365545635550933,True
Enterococcus_hirae,-3.2241424755815675,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8537.0,0.0002145252980920305,fdr_bh,0.0011365545635550933,True
Enterococcus_hermanniensis,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8485.0,0.00031505961063255165,fdr_bh,0.0011365545635550933,True
Enterococcus_gallinarum,-3.2241424755815675,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8553.0,0.0001902455931033614,fdr_bh,0.0011365545635550933,True
Enterococcus_devriesei,-3.2241424755815675,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8537.0,0.0002145252980920305,fdr_bh,0.0011365545635550933,True
Enterococcus_cecorum,-3.211477340154312,Not Normally Distributed,-3.538902065932767,Not Normally Distributed,Mann-Whitney U Test,8746.0,4.1697727007045335e-05,fdr_bh,0.0011365545635550933,True
Enterococcus_casseliflavus,-3.218692010395868,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8629.0,0.0001062546640558515,fdr_bh,0.0011365545635550933,True
Malonomonas_rubra,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8528.0,0.00022943200141465987,fdr_bh,0.0011365545635550933,True
Mangrovibacter_phragmitis,-3.2158430695976,Not Normally Distributed,-3.538902065932767,Not Normally Distributed,Mann-Whitney U Test,8534.0,0.00021939009082429993,fdr_bh,0.0011365545635550933,True
Marinobacter_hydrocarbonoclasticus,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8531.0,0.00022435831373347157,fdr_bh,0.0011365545635550933,True
Corynebacterium_ihumii,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8522.0,0.00023990409144914945,fdr_bh,0.0011365545635550933,True
Streptococcus_parauberis,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8500.0,0.00028226373118729993,fdr_bh,0.0011365545635550933,True
Streptococcus_merionis,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8530.0,0.00022603772313894776,fdr_bh,0.0011365545635550933,True
Streptococcus_marimammalium,-3.211477340154312,Not Normally Distributed,-3.5097047834403927,Not Normally Distributed,Mann-Whitney U Test,8513.0,0.0002564561938665299,fdr_bh,0.0011365545635550933,True
Streptococcus_himalayensis,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8501.0,0.0002801952280569642,fdr_bh,0.0011365545635550933,True
Streptococcus_entericus,-3.218140623353655,Not Normally Distributed,-3.538902065932767,Not Normally Distributed,Mann-Whitney U Test,8513.0,0.0002564561938665299,fdr_bh,0.0011365545635550933,True
Streptococcus_anginosus,-2.597758776419699,Normally Distributed,9.654938454250214,Not Normally Distributed,Mann-Whitney U Test,4543.0,0.0001062546640558515,fdr_bh,0.0011365545635550933,True
Stenotrophomonas_sp_KCTC_12332,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8513.0,0.0002564561938665299,fdr_bh,0.0011365545635550933,True
