Bacterial_Species,Prevalence,Cohort
Akkermansia_muciniphila,0.4438202247191011,Healthy
Alcanivorax_hongdengensis,0.033707865168539325,Healthy
Algoriphagus_faecimaris,0.011235955056179775,Healthy
Alistipes_finegoldii,0.9831460674157303,Healthy
Alistipes_ihumii,0.7134831460674157,Healthy
Alistipes_indistinctus,0.4101123595505618,Healthy
Alistipes_inops,0.6179775280898876,Healthy
Alistipes_megaguti,0.8707865168539326,Healthy
Alistipes_obesi,0.9382022471910112,Healthy
Alistipes_putredinis,0.9943820224719101,Healthy
Alistipes_senegalensis,0.9325842696629213,Healthy
Alistipes_shahii,0.9831460674157303,Healthy
Alistipes_timonensis,0.7808988764044944,Healthy
Alkalibacter_saccharofermentans,0.05056179775280899,Healthy
Alkalimonas_amylolytica,0.0056179775280898875,Healthy
Allisonella_histaminiformans,0.38764044943820225,Healthy
Allobaculum_stercoricanis,0.02247191011235955,Healthy
Allofustis_seminis,0.011235955056179775,Healthy
Alloprevotella_rava,0.14606741573033707,Healthy
Alloprevotella_tannerae,0.5898876404494382,Healthy
Alloscardovia_criceti,0.028089887640449437,Healthy
Alloscardovia_omnicolens,0.1853932584269663,Healthy
Alterileibacterium_massiliense,0.797752808988764,Healthy
Amphibacillus_jilinensis,0.0056179775280898875,Healthy
Amphibacillus_sediminis,0.0056179775280898875,Healthy
Anaerobium_acetethylicum,0.06179775280898876,Healthy
Anaerobutyricum_hallii,1.0,Healthy
Anaerococcus_lactolyticus,0.028089887640449437,Healthy
Anaerococcus_mediterraneensis,0.011235955056179775,Healthy
Anaerococcus_obesiensis,0.12359550561797752,Healthy
Anaerococcus_pacaensis,0.0056179775280898875,Healthy
Anaerococcus_prevotii,0.0056179775280898875,Healthy
Anaerococcus_provencensis,0.011235955056179775,Healthy
Anaerococcus_tetradius,0.028089887640449437,Healthy
Anaerococcus_vaginalis,0.028089887640449437,Healthy
Anaerocolumna_aminovalerica,0.03932584269662921,Healthy
Anaerocolumna_xylanovorans,0.0056179775280898875,Healthy
Anaerofustis_stercorihominis,0.16853932584269662,Healthy
Anaeroglobus_geminatus,0.21910112359550563,Healthy
Anaerolineaceae_bacterium_oral_taxon_439,0.011235955056179775,Healthy
Anaeromassilibacillus_senegalensis,0.2808988764044944,Healthy
Anaerosalibacter_massiliensis,0.011235955056179775,Healthy
Anaerosporobacter_mobilis,0.21348314606741572,Healthy
Anaerostipes_caccae,0.7134831460674157,Healthy
Anaerostipes_hadrus,0.9943820224719101,Healthy
Anaerotignum_lactatifermentans,1.0,Healthy
Anaerotignum_neopropionicum,0.8539325842696629,Healthy
Anaerotignum_propionicum,0.4101123595505618,Healthy
Anaerotruncus_colihominis,0.9887640449438202,Healthy
Anaerotruncus_rubiinfantis,0.4157303370786517,Healthy
Anaerovibrio_lipolyticus,0.02247191011235955,Healthy
Anaerovorax_odorimutans,0.016853932584269662,Healthy
Angelakisella_massiliensis,0.9887640449438202,Healthy
Anoxybacter_fermentans,0.0056179775280898875,Healthy
Arabia_massiliensis,0.07303370786516854,Healthy
Arcanobacterium_urinimassiliense,0.016853932584269662,Healthy
Arcobacter_lekithochrous,0.0056179775280898875,Healthy
Arsenophonus_endosymbiont_of_Nilaparvata_lugens,0.0056179775280898875,Healthy
Asaccharospora_irregularis,0.2247191011235955,Healthy
Atlantibacter_hermannii,0.011235955056179775,Healthy
Atopobacter_phocae,0.0056179775280898875,Healthy
Atopobium_deltae,0.08426966292134831,Healthy
Atopobium_minutum,0.028089887640449437,Healthy
Atopobium_parvulum,0.7134831460674157,Healthy
Atopobium_rimae,0.33146067415730335,Healthy
Atopobium_vaginae,0.42134831460674155,Healthy
Aureimonas_phyllosphaerae,0.0056179775280898875,Healthy
Bacillus_acidiproducens,0.11235955056179775,Healthy
Bacillus_andreraoultii,0.056179775280898875,Healthy
Bacillus_bogoriensis,0.016853932584269662,Healthy
Bacillus_cereus,0.0056179775280898875,Healthy
Bacillus_coagulans,0.05056179775280899,Healthy
Bacillus_licheniformis,0.0056179775280898875,Healthy
Bacillus_rubiinfantis,0.2696629213483146,Healthy
Bacillus_subtilis,0.23595505617977527,Healthy
Bacillus_tuaregi,0.0056179775280898875,Healthy
Bacteroidales_bacterium_CF,0.02247191011235955,Healthy
Bacteroides_barnesiae,0.9662921348314607,Healthy
Bacteroides_caccae,0.9831460674157303,Healthy
Bacteroides_caecimuris,1.0,Healthy
Bacteroides_cellulosilyticus,0.9887640449438202,Healthy
Bacteroides_coprocola,1.0,Healthy
Bacteroides_coprophilus,1.0,Healthy
Bacteroides_coprosuis,0.39325842696629215,Healthy
Bacteroides_dorei,1.0,Healthy
Bacteroides_faecichinchillae,0.9943820224719101,Healthy
Bacteroides_fluxus,1.0,Healthy
Bacteroides_fragilis,1.0,Healthy
Bacteroides_graminisolvens,0.24157303370786518,Healthy
Bacteroides_helcogenes,0.949438202247191,Healthy
Bacteroides_heparinolyticus,0.9269662921348315,Healthy
Bacteroides_luti,0.10112359550561797,Healthy
Bacteroides_neonati,0.4438202247191011,Healthy
Bacteroides_nordii,0.9775280898876404,Healthy
Bacteroides_ovatus,0.9887640449438202,Healthy
Bacteroides_paurosaccharolyticus,0.5112359550561798,Healthy
Bacteroides_pectinophilus,1.0,Healthy
Bacteroides_plebeius,1.0,Healthy
Bacteroides_propionicifaciens,0.011235955056179775,Healthy
Bacteroides_pyogenes,0.9662921348314607,Healthy
Bacteroides_reticulotermitis,0.6685393258426966,Healthy
Bacteroides_salanitronis,0.9831460674157303,Healthy
Bacteroides_salyersiae,0.9943820224719101,Healthy
Bacteroides_stercoris,0.9943820224719101,Healthy
Bacteroides_thetaiotaomicron,1.0,Healthy
Bacteroides_uniformis,0.9943820224719101,Healthy
Bacteroides_vulgatus,1.0,Healthy
Bacteroides_zoogleoformans,0.898876404494382,Healthy
Bariatricus_massiliensis,0.898876404494382,Healthy
Barnesiella_intestinihominis,0.9438202247191011,Healthy
Barnesiella_viscericola,0.9269662921348315,Healthy
Bavariicoccus_seileri,0.0056179775280898875,Healthy
Beduini_massiliensis,0.0056179775280898875,Healthy
Bibersteinia_trehalosi,0.011235955056179775,Healthy
Bifidobacterium_adolescentis,0.7415730337078652,Healthy
Bifidobacterium_aesculapii,0.0449438202247191,Healthy
Bifidobacterium_angulatum,0.550561797752809,Healthy
Bifidobacterium_animalis,0.15168539325842698,Healthy
Bifidobacterium_biavatii,0.25842696629213485,Healthy
Bifidobacterium_bifidum,0.6292134831460674,Healthy
Bifidobacterium_breve,0.7808988764044944,Healthy
Bifidobacterium_catenulatum,0.8539325842696629,Healthy
Bifidobacterium_choerinum,0.02247191011235955,Healthy
Bifidobacterium_crudilactis,0.0056179775280898875,Healthy
Bifidobacterium_dentium,0.5224719101123596,Healthy
Bifidobacterium_gallicum,0.016853932584269662,Healthy
Bifidobacterium_gallinarum,0.25280898876404495,Healthy
Bifidobacterium_lemurum,0.06179775280898876,Healthy
Bifidobacterium_longum,0.8764044943820225,Healthy
Bifidobacterium_minimum,0.1853932584269663,Healthy
Bifidobacterium_mongoliense,0.0056179775280898875,Healthy
Bifidobacterium_pseudocatenulatum,0.8539325842696629,Healthy
Bifidobacterium_pseudolongum,0.03932584269662921,Healthy
Bifidobacterium_reuteri,0.15168539325842698,Healthy
Bifidobacterium_saguini,0.3258426966292135,Healthy
Bifidobacterium_scardovii,0.11797752808988764,Healthy
Bifidobacterium_stellenboschense,0.1348314606741573,Healthy
Bifidobacterium_subtile,0.0449438202247191,Healthy
Bifidobacterium_thermophilum,0.12359550561797752,Healthy
Bifidobacterium_tsurumiense,0.016853932584269662,Healthy
Bilophila_wadsworthia,0.7584269662921348,Healthy
Bittarella_massiliensis,0.8707865168539326,Healthy
Blautia_coccoides,0.5898876404494382,Healthy
Blautia_hansenii,1.0,Healthy
Blautia_hydrogenotrophica,0.9719101123595506,Healthy
Blautia_obeum,1.0,Healthy
Blautia_producta,0.9550561797752809,Healthy
Blautia_schinkii,0.9831460674157303,Healthy
Blautia_sp_N6H1-15,1.0,Healthy
Blautia_sp_YL58,0.6348314606741573,Healthy
Bordetella_sp_HZ20,0.0056179775280898875,Healthy
Brachyspira_alvinipulli,0.056179775280898875,Healthy
Brachyspira_hampsonii,0.056179775280898875,Healthy
Brachyspira_hyodysenteriae,0.0449438202247191,Healthy
Brachyspira_intermedia,0.03932584269662921,Healthy
Brachyspira_murdochii,0.03932584269662921,Healthy
Brachyspira_pilosicoli,0.12921348314606743,Healthy
Bradyrhizobium_elkanii,0.0056179775280898875,Healthy
Bradyrhizobium_sp_SK17,0.0056179775280898875,Healthy
Brochothrix_thermosphacta,0.011235955056179775,Healthy
Brucella_microti,0.0056179775280898875,Healthy
Bulleidia_extructa,0.2696629213483146,Healthy
Burkholderiales_bacterium_GJ-E10,0.02247191011235955,Healthy
Burkholderiales_bacterium_YL45,0.11235955056179775,Healthy
Butyricicoccus_pullicaecorum,0.9775280898876404,Healthy
Butyricimonas_faecalis,0.9831460674157303,Healthy
Butyricimonas_synergistica,0.6573033707865169,Healthy
Butyrivibrio_crossotus,0.9606741573033708,Healthy
Butyrivibrio_fibrisolvens,0.06741573033707865,Healthy
Butyrivibrio_hungatei,0.016853932584269662,Healthy
Butyrivibrio_proteoclasticus,0.06741573033707865,Healthy
Caecibacter_massiliensis,0.2247191011235955,Healthy
Caldanaerobius_polysaccharolyticus,0.02247191011235955,Healthy
Caldicoprobacter_oshimai,0.011235955056179775,Healthy
Caloramator_mitchellensis,0.011235955056179775,Healthy
Campylobacter_coli,0.033707865168539325,Healthy
Campylobacter_concisus,0.2696629213483146,Healthy
Campylobacter_curvus,0.03932584269662921,Healthy
Campylobacter_fetus,0.016853932584269662,Healthy
Campylobacter_gracilis,0.07865168539325842,Healthy
Campylobacter_hominis,0.033707865168539325,Healthy
Campylobacter_jejuni,0.15168539325842698,Healthy
Campylobacter_lari,0.0056179775280898875,Healthy
Campylobacter_showae,0.06741573033707865,Healthy
Campylobacter_sputorum,0.0056179775280898875,Healthy
Campylobacter_upsaliensis,0.0056179775280898875,Healthy
Campylobacter_ureolyticus,0.016853932584269662,Healthy
Candidatus_Arthromitus_sp_SFB-mouse,0.0056179775280898875,Healthy
Candidatus_Arthromitus_sp_SFB-rat-Yit,0.011235955056179775,Healthy
Candidatus_Carsonella_ruddii,0.0056179775280898875,Healthy
Candidatus_Liberibacter_africanus,0.0056179775280898875,Healthy
Candidatus_Midichloria_mitochondrii,0.0056179775280898875,Healthy
Candidatus_Saccharibacteria_oral_taxon_TM7x,0.6797752808988764,Healthy
Capnocytophaga_canimorsus,0.0056179775280898875,Healthy
Capnocytophaga_gingivalis,0.0056179775280898875,Healthy
Capnocytophaga_granulosa,0.0056179775280898875,Healthy
Capnocytophaga_leadbetteri,0.011235955056179775,Healthy
Capnocytophaga_ochracea,0.0056179775280898875,Healthy
Capnocytophaga_sp_oral_taxon_864,0.0056179775280898875,Healthy
Cardiobacterium_hominis,0.011235955056179775,Healthy
Cardiobacterium_valvarum,0.016853932584269662,Healthy
Carnobacterium_divergens,0.0056179775280898875,Healthy
Carnobacterium_gallinarum,0.02247191011235955,Healthy
Carnobacterium_maltaromaticum,0.0056179775280898875,Healthy
Catabacter_hongkongensis,0.3539325842696629,Healthy
Catenibacterium_mitsuokai,0.6460674157303371,Healthy
Catonella_morbi,0.42134831460674155,Healthy
Caviibacter_abscessus,0.15730337078651685,Healthy
Cedecea_lapagei,0.016853932584269662,Healthy
Cedecea_neteri,0.0056179775280898875,Healthy
Celeribacter_halophilus,0.0056179775280898875,Healthy
Cellulomonas_carbonis,0.6685393258426966,Healthy
Cellulosilyticum_lentocellum,0.02247191011235955,Healthy
Cellulosilyticum_ruminicola,0.028089887640449437,Healthy
Cellulosilyticum_sp_WCF-2,0.033707865168539325,Healthy
Centipeda_periodontii,0.02247191011235955,Healthy
Cetobacterium_ceti,0.0056179775280898875,Healthy
Cetobacterium_somerae,0.0056179775280898875,Healthy
Christensenella_massiliensis,0.7247191011235955,Healthy
Christensenella_minuta,0.9550561797752809,Healthy
Christensenella_sp_Marseille-P3954,0.6741573033707865,Healthy
Christensenella_timonensis,0.19101123595505617,Healthy
Chryseobacterium_gallinarum,0.11235955056179775,Healthy
Chryseobacterium_molle,0.0056179775280898875,Healthy
Citrobacter_amalonaticus,0.07865168539325842,Healthy
Citrobacter_braakii,0.0898876404494382,Healthy
Citrobacter_farmeri,0.056179775280898875,Healthy
Citrobacter_freundii,0.20786516853932585,Healthy
Citrobacter_freundii_complex_sp_CFNIH2,0.056179775280898875,Healthy
Citrobacter_freundii_complex_sp_CFNIH3,0.20224719101123595,Healthy
Citrobacter_freundii_complex_sp_CFNIH4,0.19662921348314608,Healthy
Citrobacter_freundii_complex_sp_CFNIH9,0.14606741573033707,Healthy
Citrobacter_koseri,0.0898876404494382,Healthy
Citrobacter_pasteurii,0.0898876404494382,Healthy
Citrobacter_portucalensis,0.14606741573033707,Healthy
Citrobacter_rodentium,0.02247191011235955,Healthy
Citrobacter_sp_86,0.028089887640449437,Healthy
Citrobacter_sp_92,0.0449438202247191,Healthy
Citrobacter_sp_CFNIH10,0.07303370786516854,Healthy
Citrobacter_sp_CRE-46,0.10674157303370786,Healthy
Citrobacter_sp_FDAARGOS_156,0.08426966292134831,Healthy
Citrobacter_werkmanii,0.05056179775280899,Healthy
Citrobacter_youngae,0.15730337078651685,Healthy
Cloacibacillus_evryensis,0.19662921348314608,Healthy
Cloacibacillus_porcorum,0.16292134831460675,Healthy
Cloacibacterium_normanense,0.0056179775280898875,Healthy
Clostridiales_bacterium,0.20224719101123595,Healthy
Clostridiales_bacterium_CCNA10,1.0,Healthy
Clostridioides_difficile,0.9606741573033708,Healthy
Clostridioides_mangenotii,0.011235955056179775,Healthy
Clostridium_algidicarnis,0.0056179775280898875,Healthy
Clostridium_aminophilum,0.6292134831460674,Healthy
Clostridium_amylolyticum,0.0056179775280898875,Healthy
Clostridium_asparagiforme,0.9943820224719101,Healthy
Clostridium_baratii,0.10112359550561797,Healthy
Clostridium_beijerinckii,0.011235955056179775,Healthy
Clostridium_bolteae,0.9943820224719101,Healthy
Clostridium_bornimense,0.0449438202247191,Healthy
Clostridium_botulinum,0.033707865168539325,Healthy
Clostridium_butyricum,0.06741573033707865,Healthy
Clostridium_cadaveris,0.06741573033707865,Healthy
Clostridium_cavendishii,0.0056179775280898875,Healthy
Clostridium_celatum,0.46629213483146065,Healthy
Clostridium_cellulosi,0.0449438202247191,Healthy
Clostridium_cellulovorans,0.0056179775280898875,Healthy
Clostridium_chauvoei,0.09550561797752809,Healthy
Clostridium_chromiireducens,0.0056179775280898875,Healthy
Clostridium_citroniae,0.9943820224719101,Healthy
Clostridium_cochlearium,0.0056179775280898875,Healthy
Clostridium_cocleatum,0.12359550561797752,Healthy
Clostridium_collagenovorans,0.011235955056179775,Healthy
Clostridium_cylindrosporum,0.0056179775280898875,Healthy
Clostridium_dakarense,0.15730337078651685,Healthy
Clostridium_disporicum,0.38764044943820225,Healthy
Clostridium_fallax,0.028089887640449437,Healthy
Clostridium_fimetarium,0.016853932584269662,Healthy
Clostridium_frigidicarnis,0.0056179775280898875,Healthy
Clostridium_gasigenes,0.016853932584269662,Healthy
Clostridium_glycyrrhizinilyticum,1.0,Healthy
Clostridium_hiranonis,0.06741573033707865,Healthy
Clostridium_homopropionicum,0.011235955056179775,Healthy
Clostridium_hylemonae,0.0898876404494382,Healthy
Clostridium_ihumii,0.0056179775280898875,Healthy
Clostridium_innocuum,0.9943820224719101,Healthy
Clostridium_intestinale,0.0056179775280898875,Healthy
Clostridium_isatidis,0.033707865168539325,Healthy
Clostridium_leptum,0.9438202247191011,Healthy
Clostridium_lundense,0.07303370786516854,Healthy
Clostridium_merdae,0.03932584269662921,Healthy
Clostridium_methylpentosum,0.9606741573033708,Healthy
Clostridium_neonatale,0.07303370786516854,Healthy
Clostridium_oryzae,0.0056179775280898875,Healthy
Clostridium_paraputrificum,0.2640449438202247,Healthy
Clostridium_perfringens,0.15168539325842698,Healthy
Clostridium_phoceensis,0.9943820224719101,Healthy
Clostridium_polynesiense,0.05056179775280899,Healthy
Clostridium_polysaccharolyticum,0.02247191011235955,Healthy
Clostridium_puniceum,0.011235955056179775,Healthy
Clostridium_saccharobutylicum,0.011235955056179775,Healthy
Clostridium_saccharogumia,0.949438202247191,Healthy
Clostridium_saccharolyticum,0.9438202247191011,Healthy
Clostridium_saccharoperbutylacetonicum,0.0056179775280898875,Healthy
Clostridium_sartagoforme,0.11235955056179775,Healthy
Clostridium_scindens,0.9943820224719101,Healthy
Clostridium_septicum,0.12359550561797752,Healthy
Clostridium_sp_BNL1100,0.0056179775280898875,Healthy
Clostridium_sp_SY8519,0.9606741573033708,Healthy
Clostridium_sphenoides,0.16853932584269662,Healthy
Clostridium_spiroforme,0.6460674157303371,Healthy
Clostridium_sporogenes,0.9887640449438202,Healthy
Clostridium_sporosphaeroides,0.23595505617977527,Healthy
Clostridium_sulfidigenes,0.011235955056179775,Healthy
Clostridium_symbiosum,0.9887640449438202,Healthy
Clostridium_taeniosporum,0.033707865168539325,Healthy
Clostridium_tepidum,0.016853932584269662,Healthy
Clostridium_thermoalcaliphilum,0.0056179775280898875,Healthy
Clostridium_thermobutyricum,0.06741573033707865,Healthy
Clostridium_uliginosum,0.03932584269662921,Healthy
Clostridium_ventriculi,0.02247191011235955,Healthy
Clostridium_viride,0.0898876404494382,Healthy
Colibacter_massiliensis,0.06741573033707865,Healthy
Collinsella_aerofaciens,0.898876404494382,Healthy
Collinsella_bouchesdurhonensis,0.5224719101123596,Healthy
Collinsella_ihuae,0.10112359550561797,Healthy
Collinsella_intestinalis,0.449438202247191,Healthy
Collinsella_massiliensis,0.08426966292134831,Healthy
Collinsella_phocaeensis,0.4943820224719101,Healthy
Collinsella_stercoris,0.25280898876404495,Healthy
Collinsella_tanakaei,0.1853932584269663,Healthy
Colwellia_marinimaniae,0.0056179775280898875,Healthy
Comamonas_kerstersii,0.011235955056179775,Healthy
Coprobacter_fastidiosus,0.9606741573033708,Healthy
Coprobacter_secundus,0.9831460674157303,Healthy
Coprococcus_comes,1.0,Healthy
Coprococcus_eutactus,0.9831460674157303,Healthy
Coriobacteriaceae_bacterium_68-1-3,0.21348314606741572,Healthy
Corynebacterium_argentoratense,0.0449438202247191,Healthy
Corynebacterium_aurimucosum,0.011235955056179775,Healthy
Corynebacterium_camporealensis,0.0056179775280898875,Healthy
Corynebacterium_durum,0.3089887640449438,Healthy
Corynebacterium_ihumii,0.0056179775280898875,Healthy
Corynebacterium_jeikeium,0.0056179775280898875,Healthy
Corynebacterium_matruchotii,0.011235955056179775,Healthy
Corynebacterium_pseudodiphtheriticum,0.011235955056179775,Healthy
Corynebacterium_pyruviciproducens,0.011235955056179775,Healthy
Corynebacterium_simulans,0.016853932584269662,Healthy
Corynebacterium_singulare,0.0056179775280898875,Healthy
Corynebacterium_sp_NML98-0116,0.011235955056179775,Healthy
Corynebacterium_urealyticum,0.0056179775280898875,Healthy
Cronobacter_condimenti,0.0056179775280898875,Healthy
Cronobacter_malonaticus,0.028089887640449437,Healthy
Cronobacter_muytjensii,0.0056179775280898875,Healthy
Cronobacter_sakazakii,0.08426966292134831,Healthy
Cronobacter_turicensis,0.0056179775280898875,Healthy
Cronobacter_universalis,0.011235955056179775,Healthy
Cryptobacterium_curtum,0.033707865168539325,Healthy
Culturomica_massiliensis,0.9382022471910112,Healthy
Cutibacterium_acnes,0.0449438202247191,Healthy
Dakarella_massiliensis,0.1348314606741573,Healthy
Defluviitalea_phaphyphila,0.011235955056179775,Healthy
Dehalococcoides_mccartyi,0.016853932584269662,Healthy
Deinococcus_wulumuqiensis,0.0056179775280898875,Healthy
Denitrobacterium_detoxificans,0.10674157303370786,Healthy
Desemzia_incerta,0.0056179775280898875,Healthy
Desnuesiella_massiliensis,0.011235955056179775,Healthy
Desulfobacter_postgatei,0.016853932584269662,Healthy
Desulfobulbus_oralis,0.028089887640449437,Healthy
Desulfomicrobium_orale,0.011235955056179775,Healthy
Desulfonispora_thiosulfatigenes,0.028089887640449437,Healthy
Desulfotomaculum_copahuensis,0.016853932584269662,Healthy
Desulfotomaculum_guttoideum,0.19662921348314608,Healthy
Desulfovibrio_desulfuricans,0.19101123595505617,Healthy
Desulfovibrio_fairfieldensis,0.05056179775280899,Healthy
Desulfovibrio_legallii,0.12921348314606743,Healthy
Desulfovibrio_piger,0.24719101123595505,Healthy
Desulfovibrio_sp_G11,0.07865168539325842,Healthy
Desulfurella_acetivorans,0.028089887640449437,Healthy
Dethiosulfovibrio_peptidovorans,0.016853932584269662,Healthy
Dialister_invisus,0.4044943820224719,Healthy
Dialister_micraerophilus,0.0898876404494382,Healthy
Dialister_pneumosintes,0.2696629213483146,Healthy
Dialister_sp_Marseille-P5638,0.20224719101123595,Healthy
Dialister_succinatiphilus,0.24719101123595505,Healthy
Dickeya_chrysanthemi,0.0056179775280898875,Healthy
Dickeya_dadantii,0.0056179775280898875,Healthy
Dickeya_sp_CSL_RW240,0.0056179775280898875,Healthy
Dickeya_sp_DW_0440,0.011235955056179775,Healthy
Dickeya_sp_Secpp_1600,0.0056179775280898875,Healthy
Dickeya_zeae,0.033707865168539325,Healthy
Dielma_fastidiosa,0.21910112359550563,Healthy
Dolosigranulum_pigrum,0.011235955056179775,Healthy
Dorea_formicigenerans,1.0,Healthy
Dorea_longicatena,1.0,Healthy
Dubosiella_newyorkensis,0.0056179775280898875,Healthy
Duodenibacillus_massiliensis,0.43820224719101125,Healthy
Dysgonomonas_capnocytophagoides,0.011235955056179775,Healthy
Dysgonomonas_gadei,0.033707865168539325,Healthy
Dysgonomonas_macrotermitis,0.028089887640449437,Healthy
Dysgonomonas_mossii,0.07865168539325842,Healthy
Edwardsiella_anguillarum,0.0056179775280898875,Healthy
Edwardsiella_hoshinae,0.0056179775280898875,Healthy
Edwardsiella_ictaluri,0.0056179775280898875,Healthy
Edwardsiella_sp_EA181011,0.0056179775280898875,Healthy
Edwardsiella_sp_LADL05-105,0.0056179775280898875,Healthy
Edwardsiella_tarda,0.011235955056179775,Healthy
Effusibacillus_pohliae,0.0056179775280898875,Healthy
Eggerthella_lenta,0.9438202247191011,Healthy
Eggerthella_sp_YY7918,0.2640449438202247,Healthy
Eggerthia_catenaformis,0.12359550561797752,Healthy
Eikenella_corrodens,0.033707865168539325,Healthy
Eisenbergiella_tayi,0.8202247191011236,Healthy
Emergencia_timonensis,0.9943820224719101,Healthy
Empedobacter_brevis,0.0056179775280898875,Healthy
Enorma_massiliensis,0.10674157303370786,Healthy
Enterobacter_asburiae,0.16853932584269662,Healthy
Enterobacter_bugandensis,0.07303370786516854,Healthy
Enterobacter_cancerogenus,0.03932584269662921,Healthy
Enterobacter_cloacae,0.30337078651685395,Healthy
Enterobacter_cloacae_complex_sp,0.16853932584269662,Healthy
Enterobacter_cloacae_complex_sp_ECNIH7,0.15730337078651685,Healthy
Enterobacter_cloacae_complex_sp_FDA-CDC-AR_0132,0.1348314606741573,Healthy
Enterobacter_cloacae_complex_sp_FDA-CDC-AR_0164,0.1348314606741573,Healthy
Enterobacter_hormaechei,0.2303370786516854,Healthy
Enterobacter_kobei,0.016853932584269662,Healthy
Enterobacter_lignolyticus,0.02247191011235955,Healthy
Enterobacter_ludwigii,0.1853932584269663,Healthy
Enterobacter_roggenkampii,0.19101123595505617,Healthy
Enterobacter_sp_638,0.016853932584269662,Healthy
Enterobacter_sp_CRENT-193,0.09550561797752809,Healthy
Enterobacter_sp_Crenshaw,0.1348314606741573,Healthy
Enterobacter_sp_E20,0.16292134831460675,Healthy
Enterobacter_sp_FY-07,0.033707865168539325,Healthy
Enterobacter_sp_HK169,0.12359550561797752,Healthy
Enterobacter_sp_ODB01,0.1404494382022472,Healthy
Enterobacter_sp_R4-368,0.011235955056179775,Healthy
Enterobacter_sp_SA187,0.0056179775280898875,Healthy
Enterobacteriaceae_bacterium_ENNIH1,0.011235955056179775,Healthy
Enterobacteriaceae_bacterium_ENNIH2,0.07303370786516854,Healthy
Enterobacteriaceae_bacterium_ENNIH3,0.06179775280898876,Healthy
Enterobacteriaceae_bacterium_S05,0.14606741573033707,Healthy
Enterobacteriaceae_bacterium_strain_FGI_57,0.016853932584269662,Healthy
Enterococcus_asini,0.016853932584269662,Healthy
Enterococcus_canis,0.0056179775280898875,Healthy
Enterococcus_casseliflavus,0.02247191011235955,Healthy
Enterococcus_cecorum,0.07303370786516854,Healthy
Enterococcus_columbae,0.15730337078651685,Healthy
Enterococcus_devriesei,0.011235955056179775,Healthy
Enterococcus_dispar,0.02247191011235955,Healthy
Enterococcus_durans,0.016853932584269662,Healthy
Enterococcus_faecalis,0.15168539325842698,Healthy
Enterococcus_faecium,0.7359550561797753,Healthy
